_bronrij,Deelnemer ID,track_id,track_genre,Studietaak,Energieverschil,Stemmingsverschil,Moeilijkheid studie,energy,valence,tempo,danceability
0,0,2AHKsVXN6BjBO8SEVX6cBC,singer-songwriter,,,,,0.0759,0.234,98.979,0.481
0,0,2AHKsVXN6BjBO8SEVX6cBC,songwriter,,,,,0.0759,0.234,98.979,0.481
1,0,,,"Reading (e.g., book, article, etc.)",,,2.0,,,,
2,0,2pUpNOgJBIBCcjyQZQ00qU,folk,,-1.0,-3.0,,0.541,0.217,76.289,0.445
3,0,6c7N5N7amAOpeMykjlovjI,singer-songwriter,,,,,0.404,0.129,81.713,0.508
3,0,6c7N5N7amAOpeMykjlovjI,songwriter,,,,,0.404,0.129,81.713,0.508
4,0,6c7N5N7amAOpeMykjlovjI,singer-songwriter,,,,,0.404,0.129,81.713,0.508
4,0,6c7N5N7amAOpeMykjlovjI,songwriter,,,,,0.404,0.129,81.713,0.508
5,0,,,,,,,,,,
6,0,,,,,,,,,,
7,0,,,,,,,,,,
8,0,,,,,,,,,,
9,0,6c7N5N7amAOpeMykjlovjI,singer-songwriter,,,,,0.404,0.129,81.713,0.508
9,0,6c7N5N7amAOpeMykjlovjI,songwriter,,,,,0.404,0.129,81.713,0.508
10,0,6hjh2phISvfR1Ib6S0FK7b,singer-songwriter,,,,,0.0682,0.352,76.94,0.691
10,0,6hjh2phISvfR1Ib6S0FK7b,songwriter,,,,,0.0682,0.352,76.94,0.691
11,0,5dyihZecYMcEPq09Bk2OL2,singer-songwriter,,,,,0.153,0.324,78.072,0.731
11,0,5dyihZecYMcEPq09Bk2OL2,songwriter,,,,,0.153,0.324,78.072,0.731
12,0,,,,,,,,,,
13,0,,,,,,,,,,
14,0,,,,,,,,,,
15,0,,,,,,,,,,
16,0,5rDrZXgrZ6iKxE6jDO2mFD,rock,,,,,0.694,0.851,114.945,0.68
17,0,6c7N5N7amAOpeMykjlovjI,singer-songwriter,,,,,0.404,0.129,81.713,0.508
17,0,6c7N5N7amAOpeMykjlovjI,songwriter,,,,,0.404,0.129,81.713,0.508
18,0,,,,,,,,,,
19,0,43QSsuxazI8xms29SYCtxh,anime,,,,,0.811,0.691,87.508,0.565
19,0,43QSsuxazI8xms29SYCtxh,j-pop,,,,,0.811,0.691,87.508,0.565
19,0,43QSsuxazI8xms29SYCtxh,j-rock,,,,,0.811,0.691,87.508,0.565
20,0,6c7N5N7amAOpeMykjlovjI,singer-songwriter,,,,,0.404,0.129,81.713,0.508
20,0,6c7N5N7amAOpeMykjlovjI,songwriter,,,,,0.404,0.129,81.713,0.508
21,0,,,,,,,,,,
22,0,6c7N5N7amAOpeMykjlovjI,singer-songwriter,,,,,0.404,0.129,81.713,0.508
22,0,6c7N5N7amAOpeMykjlovjI,songwriter,,,,,0.404,0.129,81.713,0.508
23,0,2pUpNOgJBIBCcjyQZQ00qU,folk,,,,,0.541,0.217,76.289,0.445
24,0,2pUpNOgJBIBCcjyQZQ00qU,folk,,,,,0.541,0.217,76.289,0.445
25,0,,,,,,,,,,
26,1,,,,,,,,,,
27,1,,,,,,,,,,
28,1,,,,,,,,,,
29,1,,,,1.0,0.0,,,,,
30,1,,,"Reading (e.g., book, article, etc.)",0.0,0.0,1.0,,,,
31,1,,,,,,,,,,
32,1,648TTtYB0bH0P8Hfy0FmkL,jazz,,,,,0.182,0.178,136.094,0.349
33,1,,,,,,,,,,
34,1,,,,,,,,,,
35,1,,,"Reading (e.g., book, article, etc.)",,,1.0,,,,
36,1,,,"Writing an assignment (e.g., essay)",,,1.0,,,,
37,2,,,,,,,,,,
38,2,,,,,,,,,,
39,2,2USlegnFJLrVLpoVfPimKB,dance,,,,,0.896,0.403,101.216,0.67
39,2,2USlegnFJLrVLpoVfPimKB,edm,,,,,0.896,0.403,101.216,0.67
39,2,2USlegnFJLrVLpoVfPimKB,house,,,,,0.896,0.403,101.216,0.67
40,2,,,,,,,,,,
41,2,,,,,,,,,,
42,2,,,,,,,,,,
43,2,3D9TYPbNo1nnTwE4eLKxnJ,swedish,,,,,0.337,0.381,75.041,0.445
44,2,,,,,,,,,,
45,2,,,,,,,,,,
46,2,,,,,,,,,,
47,2,,,,,,,,,,
48,2,,,,,,,,,,
49,2,,,,,,,,,,
50,2,,,,0.0,0.0,,,,,
51,2,1RlmAzI27AlIpvoRN3u6Iy,electro,,,,,0.864,0.892,160.009,0.636
52,2,,,,,,,,,,
53,2,,,,,,,,,,
54,2,2UbVnbE5FH6008mAm6Mmgw,piano,,,,,0.72,0.673,117.003,0.682
54,2,2UbVnbE5FH6008mAm6Mmgw,rock,,,,,0.72,0.673,117.003,0.682
55,2,,,,,,,,,,
56,2,1AM8QdDFZMq6SrrqUnuQ9P,j-pop,,,,,0.548,0.477,115.144,0.535
56,2,1AM8QdDFZMq6SrrqUnuQ9P,jazz,,,,,0.548,0.477,115.144,0.535
57,2,,,,,,,,,,
58,2,,,,,,,,,,
59,2,,,,,,,,,,
60,2,,,,,,,,,,
61,2,,,,,,,,,,
62,2,,,,,,,,,,
63,2,,,,,,,,,,
64,2,,,,,,,,,,
65,2,,,,,,,,,,
66,2,,,,,,,,,,
67,2,,,,,,,,,,
68,2,0SFq19lgG4qbQAZaNZ3xhO,singer-songwriter,,,,,0.502,0.147,144.3,0.381
68,2,0SFq19lgG4qbQAZaNZ3xhO,songwriter,,,,,0.502,0.147,144.3,0.381
69,2,0SFq19lgG4qbQAZaNZ3xhO,singer-songwriter,,,,,0.502,0.147,144.3,0.381
69,2,0SFq19lgG4qbQAZaNZ3xhO,songwriter,,,,,0.502,0.147,144.3,0.381
70,2,,,,,,,,,,
71,2,,,,,,,,,,
72,2,,,,,,,,,,
73,2,7D0Ntx3LMFMPNtSViJLS4D,show-tunes,,,,,0.563,0.7,113.215,0.546
74,2,,,,,,,,,,
75,2,,,,,,,,,,
76,2,,,,,,,,,,
77,2,,,,,,,,,,
78,3,7JJmb5XwzOO8jgpou264Ml,dance,,,,,0.813,0.969,121.998,0.866
78,3,7JJmb5XwzOO8jgpou264Ml,pop,,,,,0.813,0.969,121.998,0.866
79,3,4ZTTUAjJCd4NMZmIU7RB4c,edm,,,,,0.648,0.281,144.028,0.587
79,3,4ZTTUAjJCd4NMZmIU7RB4c,electro,,,,,0.648,0.281,144.028,0.587
79,3,4ZTTUAjJCd4NMZmIU7RB4c,house,,,,,0.648,0.281,144.028,0.587
80,3,,,,,,,,,,
81,3,71R6zJsrF3ffc3TBFHfivX,dance,Searching for information,,,0.0,0.842,0.818,104.958,0.706
82,3,,,,,,,,,,
83,3,,,Searching for information,,,1.0,,,,
84,4,,,Planning / organising work,0.0,0.0,1.0,,,,
85,4,7tqhbajSfrz2F7E1Z75ASX,funk,Memorising information,0.0,-1.0,2.0,0.6,0.8,129.991,0.663
85,4,7tqhbajSfrz2F7E1Z75ASX,soul,Memorising information,0.0,-1.0,2.0,0.6,0.8,129.991,0.663
86,4,,,,0.0,0.0,,,,,
87,4,6w8tGzTSdZKkKG4IWh1n6h,club,,2.0,0.0,,0.855,0.497,167.538,0.325
88,4,,,,1.0,-1.0,,,,,
89,4,,,,1.0,0.0,,,,,
90,4,,,,,,,,,,
91,4,,,,1.0,0.0,,,,,
92,4,,,,,,,,,,
93,4,,,,,,,,,,
94,4,,,,0.0,0.0,,,,,
95,4,,,,0.0,1.0,,,,,
96,4,,,,0.0,0.0,,,,,
97,4,,,,-1.0,1.0,,,,,
98,4,,,,0.0,-1.0,,,,,
99,4,,,,1.0,-1.0,,,,,
100,4,,,Memorising information,,,1.0,,,,
101,4,,,,,,,,,,
102,4,,,,1.0,1.0,,,,,
103,4,,,,0.0,0.0,,,,,
104,4,,,,-1.0,0.0,,,,,
105,4,,,Memorising information,,,1.0,,,,
106,4,,,,0.0,0.0,,,,,
107,4,,,Memorising information,,,1.0,,,,
108,4,,,Memorising information,0.0,0.0,1.0,,,,
109,4,,,,,,,,,,
110,4,,,,2.0,1.0,,,,,
111,4,,,,-1.0,0.0,,,,,
112,4,,,,,,,,,,
113,4,,,,0.0,0.0,,,,,
114,4,,,,,,,,,,
115,4,,,,,,,,,,
116,4,25yQPHgC35WNnnOUqFhgVR,british,,,,,0.325,0.668,65.09,0.311
116,4,25yQPHgC35WNnnOUqFhgVR,psych-rock,,,,,0.325,0.668,65.09,0.311
117,4,,,,0.0,-1.0,,,,,
118,4,1s9LXkIlLBgZIhaL8vsoAF,tango,Memorising information,0.0,0.0,1.0,0.365,0.188,120.973,0.398
